,High,Low,Open,Close,Volume,Adj Close
2010-01-01,136.61000061035156,133.13999938964844,136.25,133.89999389648438,7599900.0,0.0
2010-01-02,136.61000061035156,133.13999938964844,136.25,133.89999389648438,7599900.0,0.0
2010-01-03,136.61000061035156,133.13999938964844,136.25,133.89999389648438,7599900.0,0.0
2010-01-04,136.61000061035156,133.13999938964844,136.25,133.89999389648438,7599900.0,0.0
2010-01-05,135.47999572753906,131.80999755859375,133.42999267578125,134.69000244140625,8851900.0,0.5899989402035493
2010-01-06,134.72999572753906,131.64999389648438,134.60000610351562,132.25,7178800.0,-1.2322583806538148
2010-01-07,132.32000732421875,128.8000030517578,132.00999450683594,130.0,11030200.0,-2.9126169337239762
2010-01-08,133.67999267578125,129.02999877929688,130.55999755859375,133.52000427246094,9830500.0,-0.28378613991364365
2010-01-09,133.38666280110678,129.09000142415366,131.24666341145834,132.45000203450522,9480133.333333334,-1.082891656515025
2010-01-10,133.09333292643228,129.1500040690104,131.9333292643229,131.37999979654947,9129766.666666666,-1.881997173116428
2010-01-11,132.8000030517578,129.2100067138672,132.6199951171875,130.30999755859375,8779400.0,-2.681102689717809
2010-01-12,129.82000732421875,126.55000305175781,128.99000549316406,127.3499984741211,9096300.0,-4.89170703579491
2010-01-13,129.7100067138672,125.75,127.9000015258789,129.11000061035156,10723200.0,-3.5772916388897436
2010-01-14,130.3800048828125,126.4000015258789,129.13999938964844,127.3499984741211,9774900.0,-4.89170703579491
2010-01-15,129.64999389648438,127.05999755859375,129.17999267578125,127.13999938964844,15376500.0,-5.048539817008479
2010-01-16,129.23749542236328,126.37749862670898,128.46249389648438,127.25749969482422,13755525.0,-4.960787531323822
2010-01-17,128.8249969482422,125.69499969482422,127.7449951171875,127.375,12134550.0,-4.873035245639166
2010-01-18,128.4124984741211,125.01250076293945,127.02749633789062,127.49250030517578,10513575.0,-4.785282959954508
2010-01-19,128.0,124.33000183105469,126.30999755859375,127.61000061035156,8892600.0,-4.697530674269852
2010-01-20,129.1999969482422,125.08000183105469,127.12999725341797,125.77999877929688,9074700.0,-6.064223664912874
2010-01-21,128.14999389648438,125.0,127.26000213623047,126.62000274658203,9970600.0,-5.436886842228216
2010-01-22,127.66999816894531,120.76000213623047,125.5999984741211,121.43000030517578,11568900.0,-9.312915727949111
2010-01-23,125.87333170572917,119.88000233968098,124.43333180745442,121.05666605631511,11720566.666666666,-9.59173146049447
2010-01-24,124.07666524251302,119.00000254313152,123.26666514078777,120.68333180745442,11872233.333333334,-9.870547193039837
2010-01-25,122.27999877929688,118.12000274658203,122.0999984741211,120.30999755859375,12023900.0,-10.149362925585196
2010-01-26,122.9800033569336,119.05999755859375,120.55999755859375,119.4800033569336,9559000.0,-10.7692241948111
2010-01-27,123.33000183105469,118.80000305175781,121.02999877929688,122.75,14765300.0,-8.327105604727832
2010-01-28,127.19999694824219,122.80000305175781,124.43000030517578,126.02999877929688,27293100.0,-5.87751715901619
2010-01-29,131.85000610351562,124.13999938964844,129.77000427246094,125.41000366210938,29471300.0,-6.340545647028524
2010-01-30,129.52000427246094,120.6999994913737,127.57333628336589,123.2300033569336,32239000.0,-7.96862660636083
2010-01-31,127.19000244140625,117.25999959309895,125.37666829427083,121.05000305175781,35006700.0,-9.596707565693135
2010-02-01,124.86000061035156,113.81999969482422,123.18000030517578,118.87000274658203,37774400.0,-11.22478852502544
2010-02-02,118.9800033569336,114.4000015258789,118.79000091552734,118.12000274658203,23079700.0,-11.784908042715495
2010-02-03,119.61000061035156,116.55999755859375,117.12000274658203,119.0999984741211,12405900.0,-11.053021730385504
2010-02-04,120.33000183105469,115.73999786376953,118.63999938964844,115.94000244140625,12784000.0,-13.412989002047802
2010-02-05,117.6500015258789,114.0999984741211,115.87999725341797,117.38999938964844,11024800.0,-12.330093546979182
2010-02-06,118.76666768391927,114.91999816894531,117.04666392008464,117.20333353678386,10646600.0,-12.469500463613462
2010-02-07,119.88333384195964,115.73999786376953,118.2133305867513,117.01666768391927,10268400.0,-12.608907380247752
2010-02-08,121.0,116.55999755859375,119.37999725341797,116.83000183105469,9890200.0,-12.748314296882032
2010-02-09,119.08999633789062,117.0,118.19999694824219,118.02999877929688,9223000.0,-11.8521253477101
2010-02-10,118.61000061035156,116.0,118.0,117.36000061035156,6233200.0,-12.352497416033922
2010-02-11,120.41999816894531,116.5,117.20999908447266,120.08999633789062,8343500.0,-10.31366556242714
2010-02-12,119.94000244140625,117.5,118.98999786376953,119.66000366210938,8073500.0,-10.634795282652272
