Twitter Text
"RT  _Henderson The Beauty Shop  A #WW2 Novel 

War changes everyone inside &amp out 

""A superb novel which felt like a labour of lov…"
  Hi baby The corset is amazon! The dress was a completely diff thing but I made it into what it looks like now 😇xx
  I did that once and ended up with a back scratcher from Amazon.
Some 2022 iPhones Lose ‘Notch; Frontline Worker Tier for Google Workspace Biden Weighs in On Amazon v Union Gab https://t.co/tzkII0HrUh
"RT   Biden throws support behind Amazon workers holding milestone union vote
https://t.co/MBk6phItpQ"
RT    _paulson      _Drive          …
RT   joe biden talking amazon unionization efforts in bessemer alabama is actually very good btw
"RT  _Caucus Every single worker deserves a union to demand fair wages better benefits &amp safer working conditions.

Thank you  …"
"  As for no-one talking about him.

Well I fucking did I pointed him out &amp the #classof19 to  , https://t.co/PCmRMY81sD"
My first novel is now available on Amazon as either an ebook or paperback For this week it is also available as a https://t.co/czkkv12W4M
